,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Total Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,Continent,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,Date
130,Ivory Coast,"81,967",,799 ,,"81,132",,36,,"2,972",29,"1,503,708","54,529","27,576,446 ",Africa,336,"34,514",18,,,1,2022-05-05
131,French Guiana,"80,859",,395 ,,"11,254",,"69,210",2,"258,433","1,262","627,211","2,004,625","312,882 ",South America,4,792,0,,,"221,202",2022-05-05
132,Suriname,"79,393",,"1,328 ",,"49,402",,"28,663",,"133,148","2,227","236,066","395,899","596,278 ",South America,8,449,3,,,"48,070",2022-05-05
133,Channel Islands,"74,642",,171 ,,"73,655",,816,,"422,174",967,"1,252,808","7,085,858","176,804 ",Europe,2,"1,034",0,,,"4,615",2022-05-05
134,French Polynesia,"72,765",,648 ,,N/A,N/A,N/A,7,"256,316","2,283",,,"283,888 ",Australia/Oceania,4,438,,,,"136,029",2022-05-05
135,Barbados,"71,127",,399 ,,"67,374",,"3,354",,"246,951","1,385","652,229","2,264,519","288,021 ",North America,4,722,0,,,"11,645",2022-05-05
136,Eswatini,"70,833",,"1,398 ",,"69,010",,425,11,"59,916","1,183","1,016,801","860,086","1,182,208 ",Africa,17,846,1,,,359,2022-05-05
137,Fiji,"64,646",,862 ,,"62,791",,993,,"71,167",949,"508,091","559,346","908,366 ",Australia/Oceania,14,"1,054",2,,,"1,093",2022-05-05
138,Madagascar,"64,181",,"1,391 ",,"59,370",,"3,420",14,"2,213",48,"426,220","14,699","28,996,777 ",Africa,452,"20,846",68,,,118,2022-05-05
139,Guyana,"63,518",,"1,228 ",,"62,200",,90,1,"80,046","1,548","600,940","757,312","793,517 ",South America,12,646,1,,,113,2022-05-05
140,Sudan,"62,135",,"4,933 ",,N/A,N/A,N/A,,"1,359",108,"562,941","12,311","45,727,331 ",Africa,736,"9,270",81,,,369,2022-05-05
141,New Caledonia,"60,749",,312 ,,"60,231",,206,9,"209,094","1,074","98,964","340,627","290,535 ",Australia/Oceania,5,931,3,,,709,2022-05-05
142,Bhutan,"59,422",+64,21 ,,"59,033",+177,368,2,"75,485",27,"2,301,767","2,923,993","787,200 ",Asia,13,"37,486",0,81,,467,2022-05-05
143,Mauritania,"58,699",,982 ,,"57,700",,17,,"12,044",201,"805,551","165,281","4,873,830 ",Africa,83,"4,963",6,,,3,2022-05-05
144,Belize,"57,561",,676 ,,"56,654",,231,6,"140,095","1,645","542,191","1,319,610","410,872 ",North America,7,608,1,,,562,2022-05-05
145,Cabo Verde,"56,036",,401 ,,"55,564",,71,23,"98,817",707,"400,982","707,113","567,069 ",Africa,10,"1,414",1,,,125,2022-05-05
146,Syria,"55,833",,"3,150 ",,"52,243",,440,,"3,054",172,"146,269","8,001","18,280,493 ",Asia,327,"5,803",125,,,24,2022-05-05
147,Gabon,"47,602",,304 ,,"47,285",,13,,"20,500",131,"1,593,622","686,293","2,322,072 ",Africa,49,"7,638",1,,,6,2022-05-05
148,Papua New Guinea,"43,821",,650 ,,"43,133",,38,7,"4,733",70,"249,149","26,912","9,257,967 ",Australia/Oceania,211,"14,243",37,,,4,2022-05-05
149,Seychelles,"42,474",,166 ,,"41,727",,581,,"427,029","1,669",,,"99,464 ",Africa,2,599,,,,"5,841",2022-05-05
150,Curaçao,"42,241",,274 ,,"41,612",,355,3,"255,504","1,657","496,693","3,004,361","165,324 ",North America,4,603,0,,,"2,147",2022-05-05
151,Andorra,"41,717",,153 ,,"41,021",,543,14,"538,339","1,974","249,838","3,224,049","77,492 ",Europe,2,506,0,,,"7,007",2022-05-05
152,Burundi,"40,552",,38 ,,773,,"39,741",,"3,234",3,"345,742","27,571","12,540,281 ",Africa,309,"330,007",36,,,"3,169",2022-05-05
153,Mauritius,"37,714",,990 ,,"36,009",,715,,"29,565",776,"358,675","281,172","1,275,641 ",Africa,34,"1,289",4,,,561,2022-05-05
154,Mayotte,"37,363",,187 ,,"2,964",,"34,212",,"131,149",656,"176,919","621,010","284,889 ",Africa,8,"1,523",2,,,"120,089",2022-05-05
155,Togo,"36,995",,273 ,,"36,702",,20,,"4,284",32,"731,516","84,719","8,634,650 ",Africa,233,"31,629",12,,,2,2022-05-05
156,Guinea,"36,459",,440 ,,"35,976",,43,8,"2,645",32,"660,107","47,882","13,786,163 ",Africa,378,"31,332",21,,,3,2022-05-05
157,Aruba,"34,846",,212 ,,"34,516",,118,3,"323,854","1,970","177,885","1,653,237","107,598 ",North America,3,508,1,,,"1,097",2022-05-05
158,Faeroe Islands,"34,658",,28 ,,"7,693",,"26,937",5,"704,374",569,"778,000","15,811,723","49,204 ",Europe,1,"1,757",0,,,"547,455",2022-05-05
159,Tanzania,"33,872",,803 ,,N/A,N/A,N/A,7,539,13,,,"62,854,783 ",Africa,"1,856","78,275",,,,523,2022-05-05
160,Bahamas,"33,626",,798 ,,"32,384",,444,,"84,036","1,994","229,817","574,341","400,140 ",North America,12,501,2,,,"1,110",2022-05-05
161,Lesotho,"32,910",,697 ,,"24,155",,"8,058",,"15,142",321,"431,221","198,407","2,173,414 ",Africa,66,"3,118",5,,,"3,708",2022-05-05
162,Mali,"30,874",,732 ,,"29,978",,164,,"1,448",34,"668,249","31,343","21,320,611 ",Africa,691,"29,127",32,,,8,2022-05-05
163,Haiti,"30,703",,835 ,,"29,555",,313,,"2,634",72,"132,422","11,359","11,657,604 ",North America,380,"13,961",88,,,27,2022-05-05
164,Isle of Man,"28,416",,87 ,,"26,794",,"1,535",,"330,961","1,013","150,753","1,755,821","85,859 ",Europe,3,987,1,,,"17,878",2022-05-05
165,Benin,"26,952",,163 ,,"25,506",,"1,283",5,"2,121",13,"604,310","47,562","12,705,635 ",Africa,471,"77,949",21,,,101,2022-05-05
166,Somalia,"26,485",,"1,350 ",,"13,182",,"11,953",,"1,585",81,"400,466","23,971","16,706,482 ",Africa,631,"12,375",42,,,715,2022-05-05
167,Congo,"24,079",,385 ,,"20,178",,"3,516",,"4,175",67,"347,815","60,309","5,767,227 ",Africa,240,"14,980",17,,,610,2022-05-05
168,Saint Lucia,"23,538",,368 ,,"22,953",,217,,"127,118","1,987","143,281","773,793","185,167 ",North America,8,503,1,,,"1,172",2022-05-05
169,Timor-Leste,"22,879",,130 ,,"22,730",,19,,"16,767",95,"263,136","192,842","1,364,516 ",Asia,60,"10,496",5,,,14,2022-05-05
170,Cayman Islands,"22,828",,27 ,,"8,553",,"14,248",1,"340,016",402,"222,773","3,318,136","67,138 ",North America,3,"2,487",0,,,"212,220",2022-05-05
171,Burkina Faso,"20,853",,382 ,,"20,439",,32,,950,17,"248,995","11,341","21,954,577 ",Africa,"1,053","57,473",88,,,1,2022-05-05
172,Nicaragua,"18,491",,225 ,,"4,225",,"14,041",,"2,732",33,,,"6,769,185 ",North America,366,"30,085",,,,"2,074",2022-05-05
173,Gibraltar,"17,837",,102 ,,"16,579",,"1,156",,"529,712","3,029","534,283","15,866,807","33,673 ",Europe,2,330,0,,,"34,330",2022-05-05
174,South Sudan,"17,490",,138 ,,"13,514",,"3,838",1,"1,530",12,"385,179","33,686","11,434,551 ",Africa,654,"82,859",30,,,336,2022-05-05
175,Tajikistan,"17,388",,124 ,,"17,264",,0,,"1,751",12,,,"9,930,626 ",Asia,571,"80,086",,,,,2022-05-05
