,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Total Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,Continent,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,Active Cases/1M pop,Date,Country Code
84,Egypt,515645.0,,24613.0,,442182.0,,48850.0,122.0,4871.0,232.0,3693367.0,34888.0,105865008.0,Africa,205.0,4301.0,29.0,461.0,2022-05-03,EGY
85,Libya,501904.0,,6430.0,,490973.0,,4501.0,101.0,71271.0,913.0,2477219.0,351766.0,7042237.0,Africa,14.0,1095.0,3.0,639.0,2022-05-03,LBY
86,Cyprus,474267.0,,1020.0,,124370.0,,348877.0,60.0,387650.0,834.0,9477138.0,7746304.0,1223440.0,Asia,3.0,1199.0,0.0,285161.0,2022-05-03,CYP
87,Ethiopia,470587.0,22.0,7510.0,,455391.0,320.0,7686.0,11.0,3916.0,62.0,47913653.0,398711.0,120171463.0,Africa,255.0,16002.0,3.0,64.0,2022-05-03,ETH
88,Mongolia,469885.0,,2179.0,,313256.0,,154450.0,192.0,139231.0,646.0,4030048.0,1194135.0,3374868.0,Asia,7.0,1549.0,1.0,45765.0,2022-05-03,MNG
89,Honduras,423179.0,57.0,10893.0,2.0,132318.0,,279968.0,105.0,41517.0,1069.0,1263329.0,123943.0,10192790.0,North America,24.0,936.0,8.0,27467.0,2022-05-03,HND
90,Armenia,422874.0,,8622.0,,412019.0,16.0,2233.0,,142220.0,2900.0,3057702.0,1028360.0,2973377.0,Asia,7.0,345.0,1.0,751.0,2022-05-03,ARM
91,Oman,389126.0,,4258.0,,384243.0,,625.0,4.0,72814.0,797.0,25000000.0,4678022.0,5344139.0,Asia,14.0,1255.0,0.0,117.0,2022-05-03,OMN
92,Bosnia and Herzegovina,377087.0,,15765.0,,192218.0,,169104.0,,116260.0,4861.0,1758191.0,542068.0,3243488.0,Europe,9.0,206.0,2.0,52136.0,2022-05-03,BIH
93,Réunion,374295.0,,742.0,,355605.0,,17948.0,10.0,412672.0,818.0,1603660.0,1768087.0,907003.0,Africa,2.0,1222.0,1.0,19788.0,2022-05-03,REU
94,Qatar,364728.0,50.0,677.0,,363516.0,57.0,535.0,3.0,129898.0,241.0,3447199.0,1227720.0,2807805.0,Asia,8.0,4147.0,1.0,191.0,2022-05-03,QAT
